exp_group,experiment,feature_set,feature_set_label,model,RMSE_h1,RMSE_h6,RMSE_h12,MAE_h1,MAE_h6,MAE_h12,sMAPE_h1,sMAPE_h6,sMAPE_h12,med_node_RMSE_h1,med_node_RMSE_h6,med_node_RMSE_h12,n_keywords_h1,n_keywords_h6,n_keywords_h12
exp1_tensors,exp1_tensors,all_features,All Features,A3TGCN,1.5643542509839665,1.970147517654928,2.007796692308015,1.0266136865775324,1.2654448580879485,1.3526480401298995,38.497860319652325,46.1659358238553,48.964298880455274,1.0005653878109015,1.0398644046118977,0.956521488866743,1811.0,1811.0,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,A3TGCN,1.585267317181022,1.9124317388167524,1.9658885155877703,1.0416702173945553,1.2221017805338985,1.3265391890764435,38.85535125177893,44.59868953917713,48.10823671157075,1.0165115680677157,1.0138242119818577,0.9379566842908451,1811.0,1811.0,1811.0
ablation_tensors,all_features,all_features,All Features,AGCRN,1.2492864567604887,1.4463940874802874,1.6443990445192673,0.7581085798749824,0.8715928462819368,1.0777828583550653,28.851095384397375,32.38051860746382,39.7721584963015,0.7620998660187032,0.7763417763867292,0.716720850174434,1811.0,1811.0,1811.0
exp1_tensors,exp1_tensors,all_features,All Features,AGCRN,1.2351211662494141,1.4352753276805237,1.617410665828068,0.7502811147831673,0.8590902818649718,1.0560027688106892,28.422794688940506,31.735843862315477,38.90515090835277,0.7504435038636936,0.7679258544631037,0.6871379200032277,1811.0,1811.0,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,AGCRN,1.247096974605336,1.4394449012402988,1.6208597233931024,0.7502654225261999,0.8628678082168608,1.0548247719387793,28.133596903984127,31.8374292794429,39.397269918147934,0.7415079003246735,0.7658297042622273,0.6999506817379344,1811.0,1811.0,1811.0
ablation_tensors,all_features,all_features,All Features,DCRNN,1.1915795812822096,1.3399330020645794,1.6576406335088891,0.7091139993201986,0.8324898654788719,1.085379645289282,26.322790309958915,30.940507722997346,40.85014288449164,0.692631120510882,0.7726660942541124,0.7215008194320252,1811.0,1811.0,1811.0
exp1_tensors,exp1_tensors,all_features,All Features,DCRNN,1.1995358117624744,,1.7080351451252074,0.728031794736633,,1.1060640051490567,26.718213324416485,,41.14435723221948,0.7307665820822304,,0.7105110257445257,1811.0,,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,DCRNN,1.184684484637021,1.330690101665964,1.6491517935745772,0.7059203721675553,0.8383452681002357,1.0706825371613968,26.22855676839447,31.01099781098316,39.57890571964289,0.6985910885118553,0.779520134219767,0.6877938178004044,1811.0,1811.0,1811.0
ablation_tensors,all_features,all_features,All Features,GConvLSTM,1.3232039336464323,1.4890745452255563,1.9517485697986303,0.8036038946321785,0.9620857100337912,1.283312187851731,29.653283194616588,34.32892238852862,46.4835402623686,0.802386237854654,0.9154559667579781,0.8702162947111289,1811.0,1811.0,1811.0
exp1_tensors,exp1_tensors,all_features,All Features,GConvLSTM,1.2441975902349593,1.4505443905147148,1.9446482929434694,0.7418634436215387,0.8570075893709546,1.280806659482882,27.58472210372468,31.746253180368893,46.402408778409,0.7352681548312636,0.7555041025893237,0.8742126946423716,1811.0,1811.0,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,GConvLSTM,1.2614379614436189,1.44103146330981,1.720165176376251,0.7571735796047097,0.8814653996747996,1.1715539054172766,27.8788033185511,32.558241695252775,41.45845448944878,0.7439751840485506,0.8154181733674729,0.8068356497776237,1811.0,1811.0,1811.0
ablation_tensors,all_features,all_features,All Features,GraphWaveNet,1.22720356620127,1.4023137692446694,1.6672828890694809,0.7445148707353969,0.8266269379348017,1.0572495464255163,27.263834362653782,30.652014536169542,38.59991756410125,0.743598336651522,0.7412539070733276,0.6711037089005583,1811.0,1811.0,1811.0
exp1_tensors,exp1_tensors,all_features,All Features,GraphWaveNet,1.2306642251002413,1.4130618584970007,1.7575153721632235,0.7492323644672989,0.8343610037536192,1.1229029524002956,27.4579555606326,30.783611424684953,40.84877718455033,0.7480609387551348,0.7421725506021173,0.6962073653984133,1811.0,1811.0,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,GraphWaveNet,1.2169431544150724,1.423047074419935,1.799452831891783,0.7205816156694813,0.8324418729652365,1.149116766092211,26.78811869723124,30.61892494989646,41.463388191810076,0.714955032758286,0.7275401197604792,0.7278421818081551,1811.0,1811.0,1811.0
exp1_tensors,exp1_tensors,all_features,All Features,MTGNN,,1.459185715142302,2.031853276233481,,0.9000902877594052,1.3473399076370616,,33.724639740732954,50.64251398142052,,0.8181984830755933,0.9041781906042234,,1811.0,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,MTGNN,1.314050420552572,1.4877436737958274,2.2161693120647383,0.8285713321452435,0.9737862219645818,1.445526682209977,30.42774935300739,34.7924476830429,46.36667802572054,0.815234841159903,0.8846662031600995,0.930862594537329,1811.0,1811.0,1811.0
exp1_tensors,exp1_tensors,all_features,All Features,STConv,1.3197970133433194,1.7080088759477001,1.646653108662886,0.8160112733444925,1.0348415561075777,1.1017663766603831,30.328842665994575,37.19124941197204,40.618905189253255,0.8081211127618698,0.855142755383837,0.7379659003779218,1811.0,1811.0,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,STConv,1.3456908085061965,1.454977450586355,1.6312599813337114,0.8145266846955,0.9023823668834021,1.1092671645892485,29.72787923493343,33.2847345152441,41.24437442309685,0.7831267654790425,0.8053264833490347,0.774034742409649,1811.0,1811.0,1811.0
exp1_tensors,exp1_tensors,all_features,All Features,STGCN,1.2526002738376938,1.5149808512632787,1.6867918357013651,0.763473250389589,0.9120340642815007,1.0729737577333256,28.286891404395405,33.134675215791844,39.16528137481955,0.749790736588727,0.8049432122117406,0.6712930897772011,1811.0,1811.0,1811.0
exp2_tensors,exp2_tensors,all_features,All Features,STGCN,1.256886518418401,1.5403592826578505,2.1325251378047905,0.7646678897485112,0.9221761323694596,1.4536298764011322,28.458737780624034,33.81561982655847,52.6391886333102,0.7406718799751908,0.7847672726135587,1.0271682422520771,1811.0,1811.0,1811.0
exp3_tensors,core_city,core_city,Core + City,AGCRN,1.2360669680843301,1.396407947783879,1.5799156520550257,0.7419708242641251,0.8764202377260101,1.0639839702401679,27.442803528584847,31.96488072822918,38.690693212836266,0.7355899571779425,0.798302328473712,0.7141338844534924,1811.0,1811.0,1811.0
exp3_tensors,core_city,core_city,Core + City,DCRNN,1.1986072432026182,1.371440595098293,1.5961746898321434,0.7143688467192677,0.8287191140576892,1.0414628881411676,26.49677891414172,30.834586852537043,38.156095936341536,0.7081027305265397,0.7528539326562969,0.6898193278994889,1811.0,1811.0,1811.0
exp3_tensors,core_city,core_city,Core + City,GConvLSTM,,1.4522725339111022,1.640172846480802,,0.9169779060756458,1.0943142867849454,,33.51149012750842,40.042760505209756,,0.8561101794794798,0.7387600153786296,,1811.0,1811.0
exp3_tensors,core_city,core_city,Core + City,GraphWaveNet,,1.3799371828089446,1.6121205453227823,,0.8304519144355489,1.0900843675145397,,30.98558608898051,39.270168906694366,,0.7641987069035256,0.719545624886551,,1811.0,1811.0
