exp_group,experiment,feature_set,feature_set_label,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords
exp1_tensors,exp1_tensors,all_features,All Features,A3TGCN,1,tercile,High,1.9612223285115336,1.1863820016351991,46.716184085238055,1.0552811576489012,604
exp2_tensors,exp2_tensors,all_features,All Features,A3TGCN,1,tercile,High,1.9847555261378966,1.204956750821061,47.196187509392345,1.0933994415449455,604
ablation_tensors,all_features,all_features,All Features,AGCRN,1,tercile,High,1.6617154065555215,0.9574954699581932,38.147345895462934,0.9271061858163842,604
exp1_tensors,exp1_tensors,all_features,All Features,AGCRN,1,tercile,High,1.6454101254739686,0.9466283205391478,37.5131031414732,0.9321856726632429,604
exp2_tensors,exp2_tensors,all_features,All Features,AGCRN,1,tercile,High,1.6727450551846075,0.9604197842204424,37.5643166425151,0.9373837678098238,604
ablation_tensors,all_features,all_features,All Features,DCRNN,1,tercile,High,1.6032720249485979,0.9084445524290072,35.36188573923789,0.8491483894625402,604
exp1_tensors,exp1_tensors,all_features,All Features,DCRNN,1,tercile,High,1.5953395790418556,0.9184603760798626,35.542071624620945,0.8629714654535365,604
exp2_tensors,exp2_tensors,all_features,All Features,DCRNN,1,tercile,High,1.591085927296259,0.9052029008390381,35.27966088584345,0.852530854671168,604
ablation_tensors,all_features,all_features,All Features,GConvLSTM,1,tercile,High,1.7717650387493538,1.01062652626098,38.970037467864124,0.9280880388141031,604
exp1_tensors,exp1_tensors,all_features,All Features,GConvLSTM,1,tercile,High,1.6780630000657437,0.9469072845812858,36.73879332351719,0.8940340982800801,604
exp2_tensors,exp2_tensors,all_features,All Features,GConvLSTM,1,tercile,High,1.6981377073980433,0.956800961241887,36.89941046878143,0.9096889625753292,604
ablation_tensors,all_features,all_features,All Features,GraphWaveNet,1,tercile,High,1.6279254191133212,0.938983224033261,36.407698885846195,0.9068057559906479,604
exp1_tensors,exp1_tensors,all_features,All Features,GraphWaveNet,1,tercile,High,1.6353684009282898,0.9441590295659872,36.59514807830008,0.8793654644321309,604
exp2_tensors,exp2_tensors,all_features,All Features,GraphWaveNet,1,tercile,High,1.642917439381917,0.92914864103107,36.11741776074041,0.8814462177345992,604
exp2_tensors,exp2_tensors,all_features,All Features,MTGNN,1,tercile,High,1.7420724714289946,1.0450199224706913,40.2090834370302,0.9869254870602193,604
exp1_tensors,exp1_tensors,all_features,All Features,STConv,1,tercile,High,1.741801583210637,1.0050861192596492,39.212831786530536,0.917214346790743,604
exp2_tensors,exp2_tensors,all_features,All Features,STConv,1,tercile,High,1.7792805905133764,1.0074185137832243,38.592691988799004,0.9023854797705078,604
exp1_tensors,exp1_tensors,all_features,All Features,STGCN,1,tercile,High,1.6686722119095594,0.9621325999595917,37.51869111705804,0.9072901372928233,604
exp2_tensors,exp2_tensors,all_features,All Features,STGCN,1,tercile,High,1.6751373111154928,0.9706353480749231,37.89468677899746,0.8976849317292246,604
exp3_tensors,core_city,core_city,Core + City,AGCRN,1,tercile,High,1.6570928277175532,0.944143629437572,36.51016849303074,0.9082918053025316,604
exp3_tensors,core_city,core_city,Core + City,DCRNN,1,tercile,High,1.6034768447692336,0.9164424919315238,35.63060368210061,0.8667948172002315,604
exp3_tensors,core_continent,core_continent,Core + Continent,AGCRN,1,tercile,High,1.6355990726724587,0.9333425046850333,36.116997642113915,0.8991238264937078,604
exp3_tensors,core_continent,core_continent,Core + Continent,DCRNN,1,tercile,High,1.6027973728252525,0.9053923779660897,35.255245431366646,0.8717819697829347,604
exp3_tensors,core_continent,core_continent,Core + Continent,GConvLSTM,1,tercile,High,1.6449619715364028,0.9172351840798625,35.789164045369475,0.8711505301810869,604
exp3_tensors,core_continent,core_continent,Core + Continent,GraphWaveNet,1,tercile,High,1.5983244060355,0.9093618364411502,35.310001947995694,0.8692878399142272,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,AGCRN,1,tercile,High,1.6266378747025172,0.9281881783214994,36.03725959410771,0.8719506657696743,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,DCRNN,1,tercile,High,1.5954531851090774,0.9022338695315835,35.2317711848677,0.8791823871863227,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,GConvLSTM,1,tercile,High,1.6423142819990253,0.9169243033089437,35.95654580025334,0.8726799381935249,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,GraphWaveNet,1,tercile,High,1.5851643282605523,0.8979974303035365,34.955449759824035,0.8535087467090067,604
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,AGCRN,1,tercile,High,1.6241281381306132,0.9309653686204313,36.02734130105666,0.8966237614029906,604
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,DCRNN,1,tercile,High,1.5966344622019442,0.9058179258932839,35.270251428509795,0.8773236141103312,604
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,GConvLSTM,1,tercile,High,1.6406958063103088,0.9167635157248601,35.87473349282396,0.8753515901574457,604
exp3_tensors,core_country,core_country,Core + Country,DCRNN,1,tercile,High,1.5935623846533638,0.9001857842498906,35.12326123015799,0.8644331717912468,604
exp3_tensors,core_country,core_country,Core + Country,GConvLSTM,1,tercile,High,1.689767830609405,0.9465067598467087,36.82767692252763,0.8928604881390554,604
exp3_tensors,core_country,core_country,Core + Country,GraphWaveNet,1,tercile,High,1.5972799422793889,0.9150677977695184,35.35964451345457,0.871836679874035,604
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,AGCRN,1,tercile,High,1.6232658668820383,0.9287934236080262,36.13490978481307,0.8904716776936192,604
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,DCRNN,1,tercile,High,1.592014272070598,0.9027232895947483,35.18329082880452,0.869410508893012,604
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,GraphWaveNet,1,tercile,High,1.6155043267757474,0.918457848093383,35.63729646417925,0.8815662200071253,604
ablation_tensors,core_dom,core_dom,Core + Domain,AGCRN,1,tercile,High,1.6453723605010842,0.9353816728034653,36.093479193991854,0.8686367257846553,604
ablation_tensors,core_dom,core_dom,Core + Domain,DCRNN,1,tercile,High,1.586596084939783,0.9120973922586818,35.353402131697784,0.8849798072927191,604
ablation_tensors,core_dom,core_dom,Core + Domain,GConvLSTM,1,tercile,High,1.6502861627070309,0.9553747157932255,37.01549427949831,0.9178441492497754,604
ablation_tensors,core_dom,core_dom,Core + Domain,GraphWaveNet,1,tercile,High,1.668209732144457,0.9682468851883013,37.44173523957578,0.9351718747437989,604
ablation_tensors,core_dtw,core_dtw,Core + DTW,AGCRN,1,tercile,High,1.6171066002100885,0.937590537926172,36.605530338590775,0.8960643133843398,604
ablation_tensors,core_dtw,core_dtw,Core + DTW,DCRNN,1,tercile,High,1.5978772744592684,0.8994004086767604,35.08963587431187,0.8835878814836825,604
ablation_tensors,core_geo,core_geo,Core + Geo,AGCRN,1,tercile,High,1.6227190288257205,0.9231236462626676,35.95744579559583,0.888665628421513,604
ablation_tensors,core_geo,core_geo,Core + Geo,DCRNN,1,tercile,High,1.5963412871445806,0.8998854593727587,35.1182165933706,0.8650040923650965,604
ablation_tensors,core_geo,core_geo,Core + Geo,GConvLSTM,1,tercile,High,1.636566025099911,0.9118321758399872,35.6535274162481,0.8621038688817977,604
ablation_tensors,core_geo,core_geo,Core + Geo,GraphWaveNet,1,tercile,High,1.5947045506210076,0.8992060600481121,35.0170187428558,0.8550809959932959,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,AGCRN,1,tercile,High,1.6143078769614836,0.9235878356576391,35.9472211622487,0.8792781466370787,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,DCRNN,1,tercile,High,1.588599721818819,0.9003771068789145,35.161622792810945,0.8741782288292965,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GConvLSTM,1,tercile,High,1.6402421652432833,0.9155318200559548,36.00870973547122,0.8736642539931418,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GraphWaveNet,1,tercile,High,1.5875641789682275,0.8935518693517938,34.892381244422175,0.8565224604809003,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,AGCRN,1,tercile,High,1.6323552357225128,0.9310505687279395,36.06975057068746,0.8847278892640295,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,DCRNN,1,tercile,High,1.5978613865534281,0.898289656512988,35.07479768190509,0.8600351369433681,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GConvLSTM,1,tercile,High,1.65271415755124,0.916680306828177,35.77914955962734,0.8686060898442235,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GraphWaveNet,1,tercile,High,1.6000543835987768,0.9078085801762289,35.20252311257201,0.87376071016107,604
ablation_tensors,core_lags,core_lags,Core + Lags,AGCRN,1,tercile,High,1.6695719255256,0.945248994033438,36.49855256158334,0.8822338680550814,604
ablation_tensors,core_lags,core_lags,Core + Lags,DCRNN,1,tercile,High,1.605868208818168,0.9053064504982193,35.49687225132133,0.883641960834564,604
ablation_tensors,core_lags,core_lags,Core + Lags,GConvLSTM,1,tercile,High,1.74382724122312,0.9534328673646701,36.500593038938575,0.858303938269813,604
ablation_tensors,core_lags,core_lags,Core + Lags,GraphWaveNet,1,tercile,High,1.6486320573670055,0.9101722135218219,35.39194017091279,0.8826583462714852,604
ablation_tensors,core_only,core_only,Core (CPC only),DCRNN,1,tercile,High,1.5989821928128942,0.9090731028511685,35.47677227670577,0.892281629837044,604
ablation_tensors,core_only,core_only,Core (CPC only),GraphWaveNet,1,tercile,High,1.5859385503361045,0.8999156634940952,35.0261995667781,0.8632294344805103,604
ablation_tensors,core_search,core_search,Core + Search,AGCRN,1,tercile,High,1.6418881524777942,0.9288793538149073,36.03511315897153,0.8879556219988685,604
ablation_tensors,core_search,core_search,Core + Search,GraphWaveNet,1,tercile,High,1.578815441185341,0.8906053639862117,34.751215318564654,0.8589863848317015,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,AGCRN,1,tercile,High,1.6295077062260368,0.9351225150386093,36.05123749902216,0.8891506516722851,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,DCRNN,1,tercile,High,1.5901142186212678,0.90689999725948,35.35325739546377,0.8935792194322663,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GConvLSTM,1,tercile,High,1.6562009514263598,0.9177405531523146,35.8769355271398,0.8754588775802856,604
ablation_tensors,core_sem_pc,core_sem_pc,Core + Sem PC,GraphWaveNet,1,tercile,High,1.5855649875163118,0.8997786722370616,34.99044031117471,0.8660593853562863,604
ablation_tensors,core_sim25,core_sim25,Core + Sim25,AGCRN,1,tercile,High,1.6688157309301432,0.9330843588250639,36.225140794548,0.8831811715575191,604
ablation_tensors,core_sim25,core_sim25,Core + Sim25,DCRNN,1,tercile,High,1.5937261426576428,0.9014791118939866,35.244114850527694,0.8830567118640882,604
ablation_tensors,core_sim25,core_sim25,Core + Sim25,GConvLSTM,1,tercile,High,1.6450936357914596,0.9164504638908765,35.85572909437905,0.8778891929677088,604
